CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,GAME_TIME_LEFT,SHOT_TIME_LEFT,TEAM1_ID,TEAM2_ID,BALL_X,BALL_Y,PLAYER1_ID,PLAYER1_X,PLAYER1_Y,PLAYER2_ID,PLAYER2_X,PLAYER2_Y,PLAYER3_ID,PLAYER3_X,PLAYER3_Y,PLAYER4_ID,PLAYER4_X,PLAYER4_Y,PLAYER5_ID,PLAYER5_X,PLAYER5_Y,PLAYER6_ID,PLAYER6_X,PLAYER6_Y,PLAYER7_ID,PLAYER7_X,PLAYER7_Y,PLAYER8_ID,PLAYER8_X,PLAYER8_Y,PLAYER9_ID,PLAYER9_X,PLAYER9_Y,PLAYER10_ID,PLAYER10_X,PLAYER10_Y
5,92,215,159.36,14.68,1610612737,1610612765,38.40017,3.13048,200794,64.47564,27.67584,200757,88.95027,46.75932,201168,81.84214,16.92302,203934,75.58401,5.25481,203471,74.03617,39.45062,202704,86.10346,37.52317,202694,78.06358,34.61728,203484,71.66663,17.71036,203083,84.76457,19.32579,1626169,71.02233,28.00988
5,92,250,157.96,13.37,1610612737,1610612765,41.94322,2.49853,200794,61.83665,26.14187,200757,90.29171,47.00754,201168,81.89737,15.39699,203934,86.68071,1.8540800000000002,203471,68.09588,42.69511,202704,87.62386,37.86599,202694,75.8986,36.56165,203484,80.4885,14.24342,203083,84.13629,20.27526,1626169,70.03311,28.45213
5,92,328,154.83,10.47,1610612737,1610612765,41.83349,3.5944000000000003,200794,58.10981,17.13049,200757,89.76095,47.39614,201168,87.77067,11.5605,203934,80.01426,1.9655,203471,59.99372,41.65061,202704,87.78417,38.37429,202694,70.80438,36.09993,203484,82.13898,11.297789999999999,203083,85.37972,17.80597,1626169,68.80156,23.94978
5,92,352,153.87,9.58,1610612737,1610612765,38.29562,1.00125,200794,59.4851,16.43897,200757,89.7695,47.40763,201168,90.70994,9.7838,203934,79.7796,2.05362,203471,66.97355,37.34947,202704,87.79224,38.17123,202694,71.96907,34.54989,203484,81.20578,12.70248,203083,86.73896,17.93239,1626169,70.66594,23.89269
5,92,479,148.78,4.85,1610612737,1610612765,13.87944,2.5933200000000003,200794,67.08626,16.2056,200757,67.61312,38.31236,201168,80.12097,36.33239,203934,79.53543,2.48915,203471,89.29568,20.15108,202704,71.55609,33.70143,202694,88.5446,21.82068,203484,80.89605,14.57234,203083,84.93593,29.34767,1626169,67.99081,18.4611
5,92,492,148.26,4.37,1610612737,1610612765,17.22363,3.75695,200794,74.40378,16.901040000000002,200757,67.68512,38.3189,201168,80.34621,34.63052,203934,79.88574,2.16916,203471,88.26055,17.4731,202704,72.81845,33.59949,202694,86.99254,21.09033,203484,80.16221,15.01831,203083,85.72853,28.37185,1626169,71.75588,17.77219
5,92,515,147.34,3.52,1610612737,1610612765,22.40718,11.56037,200794,82.22663,22.06493,200757,67.51151,38.15931,201168,84.17612,32.86412,203934,82.20476,1.67767,203471,88.69461,15.65145,202704,77.50354,32.09573,202694,85.94524,21.25506,203484,80.1925,10.34108,203083,86.32071,26.66532,1626169,79.22915,19.7532
5,92,548,146.01,24.0,1610612737,1610612765,25.99776,10.1393,200794,88.33197,24.13721,200757,61.17055,35.40017,201168,86.31529,28.94218,203934,69.63853,6.45751,203471,87.19049,17.56514,202704,84.19241,32.29755,202694,87.99542,22.80654,203484,70.06124,9.49755,203083,85.43322,26.50737,1626169,85.30715000000001,21.45581
5,92,648,142.01,21.5,1610612737,1610612765,22.66825,4.34043,200794,78.15605,3.54358,200757,53.14984,36.91684,201168,74.77109,27.11026,203934,43.87319,10.87146,203471,57.13547,21.9724,202704,73.28531,33.34316,202694,80.71429,15.16945,203484,61.38027,19.79275,203083,82.42774,25.61075,1626169,70.42821,18.37545
5,92,710,139.52,19.2,1610612737,1610612765,18.28979,2.81764,200794,86.74026,5.13857,200757,65.73767,44.07691,201168,80.34675,16.81238,203934,66.31466,4.27072,203471,53.13434,19.14055,202704,73.37231,35.92632,202694,85.1529,11.49151,203484,59.54518,20.36216,203083,82.68091,20.7343,1626169,73.10497,10.06941
5,92,740,138.32,18.08,1610612737,1610612765,20.98465,3.2608,200794,85.23901,9.42907,200757,72.04729,46.37494,201168,71.38049,18.1937,203934,74.69048,2.74547,203471,52.09045,20.09742,202704,76.62267,36.29813,202694,85.75134,13.11706,203484,59.10006,20.93875,203083,79.53671,19.49925,1626169,77.88226,7.29116
5,92,750,137.92,17.71,1610612737,1610612765,20.22979,3.46163,200794,85.00529,10.77289,200757,74.05943,46.56176,201168,67.97125,19.50462,203934,77.58857,2.42227,203471,52.10949,20.16005,202704,77.76744,35.96087,202694,85.16627,13.60611,203484,57.82297,21.00985,203083,77.55533,19.39473,1626169,79.6368,6.52782
